title,clause_number,display_order,requirement_text
Risk evaluation,6,11,"You are evaluating ISO 14971:2019 clause 6 – “Risk evaluation”.

Objective:
Determine whether the document requires comparing estimated risks from 5.5 to defined criteria for risk acceptability and deciding:
- Whether risks are acceptable and can be treated as residual, or
- Whether risk control is required.

Core evidence to look for (minimal subset for PASS):
- A clear link between risk estimates and risk acceptability criteria (policy or matrix).
- A decision step that classifies risks (e.g., acceptable, ALARP, unacceptable) and routes them accordingly.
- Documentation of evaluation outcomes for each hazardous situation.

Examples of strong PASS evidence:
- A risk evaluation table with columns for risk score, acceptability category, and required action.
- Explicit rules like “Risks in the red zone require risk control measures” or “Risks below threshold X are acceptable.”

When to FLAG:
- Criteria are mentioned but not clearly applied (e.g., risk matrix exists but decision-making rules are vague).
- It is unclear whether all hazardous situations are evaluated or only some.

When to FAIL:
- No evaluation step exists; risk estimation is done but there is no comparison to any criteria.
- Risk decisions appear arbitrary or are left entirely to subjective judgment without reference to policy.

Typical OFIs (can still PASS):
- Criteria are defined but not well documented in this specific procedure.
- Evaluation outcomes are recorded but not clearly linked to subsequent risk control steps."
Risk control option analysis and documenting impracticability,7.1,12,"You are evaluating ISO 14971:2019 clause 7.1 – “Risk control option analysis”.

Objective:
Determine whether the document requires:
- Identifying and evaluating risk control options.
- Applying the priority order: (1) inherently safe design, (2) protective measures, (3) information for safety/training.
- Recording selected measures and justifying when further risk reduction is not practicable (and thus may require benefit–risk analysis).

Core evidence to look for (minimal subset for PASS):
- A requirement to consider risk control options in a structured manner.
- Explicit or clearly implied application of the priority order (even if not worded exactly like the standard).
- Expectation to record selected controls and rationale, including reasons why additional risk reduction is not practicable when residual risk remains.

Examples of strong PASS evidence:
- A table where each hazard/hazardous situation has columns for inherent design changes, protective measures, and information for safety, with selection rationale.
- Text that states the priority and requires justification if the order is not followed or further reduction is impracticable.

When to FLAG:
- Controls are listed but there is no notion of “option analysis” or priority order.
- Impracticability is mentioned but not clearly tied to decision-making or benefit–risk analysis.

When to FAIL:
- No process for considering risk control options, only ad hoc controls.
- The document never addresses prioritization or justification of risk control strategies.

Typical OFIs (can still PASS):
- Priority order is implied but not clearly articulated.
- Documentation of impracticability is vaguely referenced (e.g., “per engineering judgment”) without clear expectations."
Implementation and verification of risk control measures (incl. effectiveness),7.2,13,"You are evaluating ISO 14971:2019 clause 7.2 – “Implementation of risk control measures”.

Objective:
Determine whether the document requires:
- Implementing selected risk control measures.
- Verifying that they have been implemented as designed.
- Verifying their effectiveness in reducing risk (e.g., severity/probability).

Core evidence to look for (minimal subset for PASS):
- A requirement to implement selected controls via design outputs, process controls, labeling changes, etc.
- A requirement to verify implementation (e.g., design verification, process qualification, inspection).
- A requirement to verify effectiveness, i.e., confirm that the control actually reduces risk (often via validation, testing, or usability studies).

Examples of strong PASS evidence:
- Separate steps/records for “Implementation”, “Verification of implementation”, and “Verification of effectiveness”.
- References to specific test reports, validations, or clinical/usability evaluations as evidence of effectiveness.

When to FLAG:
- Implementation is required but verification/effectiveness is only implied.
- Verification is described but “effectiveness” is not clearly distinguished from mere existence.

When to FAIL:
- No requirement to verify implementation of risk control measures.
- No notion that effectiveness must be demonstrated; controls are assumed effective with no evidence.

Typical OFIs (can still PASS):
- Effectiveness verification is present only for certain types of controls (e.g., technical, but not information-for-safety).
- Links to verification/validation documentation are weak or inconsistent."
Residual risk evaluation (per hazardous situation),7.3,14,"You are evaluating ISO 14971:2019 clause 7.3 – “Residual risk evaluation”.

Objective:
Determine whether the document requires, after implementing controls:
- Evaluating residual risk for each hazardous situation.
- Deciding whether residual risk is acceptable per the criteria.

Core evidence to look for (minimal subset for PASS):
- A step to re-estimate or evaluate residual risk per hazardous situation.
- Application of the same or clearly related acceptability criteria used in clause 6.
- Documentation of the decision (acceptable/not acceptable, further action required).

Examples of strong PASS evidence:
- A “residual risk” column in the risk table with evaluation outcomes and comments.
- Instructions that any residual risk that remains unacceptable must proceed to further risk control or benefit–risk analysis.

When to FLAG:
- Residual risk is mentioned but only at a high level (e.g., “Risks must be acceptable overall”) with no per-hazard evaluation.
- It is unclear how residual risk is documented.

When to FAIL:
- No per-hazard residual risk evaluation step is described.
- The process ends after risk control implementation with no follow-up evaluation.

Typical OFIs (can still PASS):
- Residual risk is evaluated qualitatively but not clearly tied to the numerical criteria used earlier.
- Documentation of residual risk decisions is sparse but present."
Benefit–risk analysis,7.4,15,"You are evaluating ISO 14971:2019 clause 7.4 – “Benefit–risk analysis”.

Objective:
Determine whether the document requires performing a benefit–risk analysis (BRA) when:
- Residual risk remains unacceptable despite all practicable risk control measures.
- The manufacturer wishes to justify acceptance of such risk based on benefit.

Core evidence to look for (minimal subset for PASS):
- A trigger that when residual risk is not acceptable and further reduction is not practicable, a BRA must be performed.
- Expectation to use clinical/market data, literature, or expert judgment to compare benefits and residual risks.
- Requirement to document conclusions and decisions.

Examples of strong PASS evidence:
- A defined BRA process with inputs (clinical evidence, literature, alternatives), method, and outputs.
- A requirement to record BRA conclusions in the RMF or risk management report.

When to FLAG:
- BRA is mentioned only in passing without clear triggers, inputs, or expected documentation.
- It is unclear who performs BRA or how it feeds into decision-making.

When to FAIL:
- No BRA concept or trigger exists; the process cannot handle unacceptable residual risks that cannot be further reduced.
- The document implies that all residual risks must be acceptable without considering benefit–risk.

Typical OFIs (can still PASS):
- BRA exists but lacks detailed guidance on methods or data sources.
- Documentation expectations are minimal or not clearly linked to the RMF/RMR."
Risks arising from risk control measures,7.5,16,"You are evaluating ISO 14971:2019 clause 7.5 – “Risks arising from risk control measures”.

Objective:
Determine whether the document requires:
- Assessing whether implemented risk control measures introduce new hazards, hazardous situations, or modify existing risks.
- Feeding any new or changed risks back through the risk-management process.

Core evidence to look for (minimal subset for PASS):
- A requirement to evaluate new risks or adverse effects introduced by risk controls.
- A mechanism to feed these new/changed risks back into hazard identification and risk evaluation.

Examples of strong PASS evidence:
- A change impact assessment step that explicitly includes “risks introduced by controls”.
- A statement that any new hazards arising from controls must be added to the hazard analysis and evaluated.

When to FLAG:
- Change impact assessment exists but does not clearly mention new hazards or risks from controls.
- It is ambiguous whether newly created risks are systematically captured.

When to FAIL:
- No consideration of new risks arising from controls.
- The process implicitly assumes controls only reduce risk and can never create new risks.

Typical OFIs (can still PASS):
- The concept of new risks is handled only under generic change control, not explicitly labelled as a risk-management requirement."
Completeness of risk control,7.6,17,"You are evaluating ISO 14971:2019 clause 7.6 – “Completeness of risk control”.

Objective:
Determine whether the document requires a review to confirm that:
- All planned risk control measures have been implemented and verified.
- Risk control activities are complete for all identified hazardous situations.

Core evidence to look for (minimal subset for PASS):
- A final completeness check or review step for risk controls.
- Expectation to confirm that all planned controls are implemented, verified, and that resulting residual risks have been evaluated.

Examples of strong PASS evidence:
- A checklist or review record specifically for completeness of risk control.
- A requirement to check that there are no “open” risk controls prior to final risk management review.

When to FLAG:
- Completeness is implied (e.g., “all actions must be closed”) but not clearly linked to risk control measures.
- The review step is present but it is unclear whether it covers all hazardous situations.

When to FAIL:
- No concept of a completeness check; risk control activities just “stop” without a final review.

Typical OFIs (can still PASS):
- Completeness review is limited (e.g., only design-stage controls, not production/post-production).
- The review is informal or lacks defined outputs."
Evaluation of overall residual risk and disclosure,8,18,"You are evaluating ISO 14971:2019 clause 8 – “Evaluation of overall residual risk”.

Objective:
Determine whether the document requires:
- Evaluating the overall residual risk of the device (considering all individual residual risks together) in relation to overall benefits.
- Deciding whether overall residual risk is acceptable.
- Ensuring that significant residual risks are disclosed to users in accompanying information (e.g., IFU, labeling).

Core evidence to look for (minimal subset for PASS):
- A defined step for overall residual risk evaluation (beyond per-hazard evaluation).
- Use of method/criteria for this evaluation (may reference policy or RMP).
- A requirement to identify and document significant residual risks for disclosure in labeling/IFU.

Examples of strong PASS evidence:
- A dedicated “overall residual risk evaluation” section or report.
- Instructions to summarize major residual risks and confirm whether overall residual risk is acceptable.
- A requirement to include significant residual risks in the IFU/labeling.

When to FLAG:
- Overall residual risk is mentioned but no method or decision criteria are described.
- Disclosure of residual risks is present but not clearly linked to the risk management process.

When to FAIL:
- No concept of overall residual risk evaluation.
- No expectation to communicate significant residual risks to users.

Typical OFIs (can still PASS):
- Overall evaluation is qualitative and high-level but clearly present.
- Residual risk disclosures exist but are not systematically traced back to the RMF."
Risk management review & risk management report,9,19,"You are evaluating ISO 14971:2019 clause 9 – “Risk management review”.

Objective:
Determine whether the document requires a final review (often resulting in a Risk Management Report, RMR) that:
- Confirms the risk management plan has been implemented.
- Concludes on the acceptability of overall residual risk.
- Confirms that P&PP activities are in place.
- Is approved by a person/role with appropriate authority.

Core evidence to look for (minimal subset for PASS):
- A formal risk management review step prior to commercial release (and/or updates).
- Expectation to generate a documented RMR (or equivalent).
- Requirements for content of this review (e.g., status of RMP, residual risk conclusions, conditions for release).

Examples of strong PASS evidence:
- A section “Risk Management Review” that describes inputs, review activities, and the RMR as output.
- Requirement that the RMR be approved by top management or a designated authority.

When to FLAG:
- A general “review” is mentioned but it is unclear if it is specific to risk management or if it covers necessary conclusions.
- The existence of a report is implied but not clearly required.

When to FAIL:
- No risk management review is described.
- The process moves directly from risk control to market release with no final risk-management-specific review.

Typical OFIs (can still PASS):
- RMR content is only loosely defined.
- The review process could better integrate post-market obligations or conditions of release."
System for production & post‑production monitoring,10.1,20,"You are evaluating ISO 14971:2019 clause 10.1 – “Production and post-production activities – General”.

Objective:
Determine whether the document requires establishing and maintaining a system to:
- Collect and monitor production and post-production information relevant to safety.
- Feed that information back into the risk management process.

Core evidence to look for (minimal subset for PASS):
- A defined system or process for production and post-production monitoring (may align with PMS, complaint handling, vigilance, etc.).
- Clear reference to sources like complaints, service reports, nonconformities, market surveillance, literature, regulatory reports.
- Statement that this system is part of the risk-management feedback loop.

Examples of strong PASS evidence:
- A “Post-Market Surveillance” or “Production & Post-Production Information” section tied directly to risk management.
- SOP references for complaint handling, vigilance, PMS plans, and trending.

When to FLAG:
- Post-market activities are described but their link to risk management is only implied.
- The system is very generic, leaving unclear whether it effectively supports risk management.

When to FAIL:
- No mention of production/post-production information relevant to safety.
- No mechanism for monitoring such information is described.

Typical OFIs (can still PASS):
- The system exists but could be more clearly documented or integrated.
- Not all relevant information sources are enumerated, but core ones (e.g., complaints) are present."
Information collection (sources & mechanisms),10.2,21,"You are evaluating ISO 14971:2019 clause 10.2 – “Information collection”.

Objective:
Determine whether the document requires collecting information from appropriate production and post-production sources, such as:
- Production records, nonconformances, and process deviations.
- Complaints, incident reports, service/repair records.
- Regulatory reports, literature, state-of-the-art and similar devices.

Core evidence to look for (minimal subset for PASS):
- A list or description of information sources that are routinely collected and monitored for safety relevance.
- Mechanisms for collecting this information (e.g., databases, forms, periodic reviews).
- Linkage between collected data and risk management (e.g., feeding into hazard analysis, risk evaluation, or CAPA).

Examples of strong PASS evidence:
- A table or section listing information sources and specifying who collects them and how often.
- References to central complaint databases, supplier quality data, service logs, and literature reviews.

When to FLAG:
- Some sources (e.g., complaints) are mentioned but it is unclear whether other important sources are considered.
- Collection is mentioned but mechanisms (frequency, responsibility) are vague.

When to FAIL:
- No defined process for collecting production or post-production safety information.
- Collection is purely reactive and not described as part of a systematic process.

Typical OFIs (can still PASS):
- Sources are generally defined but could be expanded (e.g., literature or “state of the art” not clearly included).
- Data collection frequency or trending methods are not well specified."
Information review & feedback into risk management,10.3,22,"You are evaluating ISO 14971:2019 clause 10.3 – “Information review”.

Objective:
Determine whether the document requires:
- Reviewing collected production and post-production information to determine its relevance to safety.
- Feeding relevant information back into earlier stages of the risk-management process (hazard identification, risk estimation, risk control, etc.).

Core evidence to look for (minimal subset for PASS):
- A defined review process for collected information (e.g., periodic safety meetings, safety review boards, signal review).
- Criteria or triggers for determining when information is safety-relevant.
- Expectation that new information leads to updates of the RMF (e.g., hazard list, risk estimates, controls).

Examples of strong PASS evidence:
- A “safety review board” or “PMS review” step with defined inputs and outputs.
- Instructions to update hazard analyses, risk evaluations, and RMPs based on review findings.

When to FLAG:
- Review is mentioned but not clearly tied to risk management (e.g., only a generic KPI review).
- It is unclear how often review occurs or how decisions are documented.

When to FAIL:
- No review mechanism is described for production/post-production information.
- Collected data are stored but not analyzed for safety implications.

Typical OFIs (can still PASS):
- Review exists but not all outputs (e.g., changes to risk controls, changes to labeling) are clearly defined.
- Criteria for escalation or re-analysis are vague."
Actions based on production & post‑production information,10.4,23,"You are evaluating ISO 14971:2019 clause 10.4 – “Actions”.

Objective:
Determine whether the document requires, when collected information is relevant to safety:
- Deciding whether action is needed (e.g., CAPA, field safety corrective actions, design changes, labeling updates).
- Implementing those actions.
- Updating the risk-management file and associated documents accordingly.

Core evidence to look for (minimal subset for PASS):
- A decision process for determining when safety‑relevant information triggers action.
- Examples or types of possible actions (e.g., risk assessment updates, design changes, process changes, field actions, safety notices).
- Expectation to update risk assessments, risk management plan/file, and other documentation when actions are taken.

Examples of strong PASS evidence:
- A flowchart from “safety-relevant signal detected” → “evaluation” → “decide on actions” → “implement and document” → “update RMF and related documents”.
- Explicit mention of CAPA, recalls/field safety corrective actions, and communication with regulators as part of potential actions.

When to FLAG:
- Actions are mentioned but it is unclear how they are triggered or how they link back to risk management.
- The document relies wholly on generic CAPA text without specifying the risk-management tie-in.

When to FAIL:
- No process for determining or implementing actions based on safety-related information.
- The system collects and reviews data but does nothing with it in terms of risk management.

Typical OFIs (can still PASS):
- Actions are described but updating the RMF/RMP is not explicitly mentioned.
- The set of example actions is incomplete (e.g., design changes mentioned but not field safety actions)."
